Food,Meal_Type,Diet_Type,Calories,Protein_g,Carbs_g,Fat_g
Almonds,Breakfast,Veg,450,30.63,74.91,22.35
Apple,Breakfast,Veg,195,25.92,62.78,29.12
Orange,Breakfast,Veg,578,7.88,7.99,26.7
Salmon,Dinner,Non-Veg,233,19.19,32.34,20.8
Chickpeas,Breakfast,Veg,459,17.92,37.96,13.4
Eggs,Lunch,Non-Veg,240,20.58,22.69,12.12
Salmon,Lunch,Non-Veg,566,34.79,16.06,20.37
Apple,Breakfast,Veg,92,29.45,46.39,21.73
Salmon,Dinner,Non-Veg,154,7.38,74.36,8.87
Salmon,Snack,Non-Veg,448,37.46,60.72,3.01
Paneer,Dinner,Veg,260,12.99,56.53,29.44
Chicken Breast,Snack,Non-Veg,127,22.47,60.12,3.68
Spinach,Breakfast,Veg,136,25.95,35.21,8.2
Brown Rice,Snack,Veg,318,3.31,32.04,2.01
Spinach,Snack,Veg,340,21.84,58.79,3.23
Spinach,Breakfast,Veg,458,4.38,13.98,12.97
Lentils,Lunch,Veg,119,23.88,12.69,9.98
Chicken Breast,Lunch,Non-Veg,103,4.37,47.8,9.92
Yogurt,Dinner,Veg,484,28.02,36.54,3.6
Salmon,Breakfast,Non-Veg,234,1.8,59.67,2.91
Peanuts,Lunch,Veg,354,29.92,22.67,24.31
Avocado,Lunch,Veg,174,29.42,32.9,5.2
Apple,Snack,Veg,162,37.77,58.23,27.83
Carrot,Lunch,Veg,474,11.8,44.6,28.72
Paneer,Lunch,Veg,367,29.62,15.73,14.63
Milk,Breakfast,Veg,118,8.54,46.39,19.04
Quinoa,Dinner,Veg,518,37.24,15.5,27.59
Quinoa,Lunch,Veg,216,36.38,65.16,27.18
Orange,Lunch,Veg,193,27.75,73.87,4.87
Chicken Breast,Snack,Non-Veg,267,32.58,58.49,6.91
Chickpeas,Breakfast,Veg,169,22.74,79.97,5.08
Chickpeas,Lunch,Veg,498,24.83,10.17,7.87
Apple,Dinner,Veg,600,27.86,67.8,20.16
Chickpeas,Dinner,Veg,434,34.22,43.55,4.91
Almonds,Snack,Veg,172,9.12,8.7,13.28
Almonds,Breakfast,Veg,327,27.97,41.32,19.89
Almonds,Lunch,Veg,106,19.45,57.25,9.42
Chicken Breast,Breakfast,Non-Veg,438,38.21,13.47,20.48
Brown Rice,Snack,Veg,496,3.64,65.67,14.61
Banana,Breakfast,Veg,220,11.9,11.04,11.28
Sweet Potato,Lunch,Veg,121,23.49,42.03,29.75
Orange,Lunch,Veg,122,20.48,57.2,29.76
Oats,Snack,Veg,148,28.9,65.92,25.89
Peanuts,Snack,Veg,540,25.12,47.0,19.25
Salmon,Snack,Non-Veg,576,20.78,26.0,3.94
Milk,Dinner,Veg,90,30.39,8.79,26.73
Chickpeas,Breakfast,Veg,445,1.54,41.7,7.41
Yogurt,Breakfast,Veg,315,32.71,30.56,5.53
Paneer,Lunch,Veg,566,21.6,71.35,28.58
Tofu,Breakfast,Veg,121,3.93,19.23,6.62
Brown Rice,Lunch,Veg,500,37.73,39.66,19.04
Salmon,Breakfast,Non-Veg,290,18.45,13.55,19.87
Brown Rice,Snack,Veg,73,12.45,6.07,4.58
Peanuts,Dinner,Veg,135,15.97,67.07,5.43
Eggs,Snack,Non-Veg,129,31.05,57.13,25.32
Sweet Potato,Dinner,Veg,77,26.5,58.73,2.14
Quinoa,Breakfast,Veg,468,15.35,10.59,22.29
Chicken Breast,Breakfast,Non-Veg,317,16.5,48.02,25.27
Yogurt,Snack,Veg,445,22.9,63.86,26.13
Eggs,Snack,Non-Veg,381,1.56,65.99,27.51
Salmon,Breakfast,Non-Veg,422,20.75,45.58,8.49
Peanuts,Dinner,Veg,71,8.08,21.26,18.52
Paneer,Snack,Veg,243,32.9,40.77,24.86
Brown Rice,Lunch,Veg,53,3.87,40.77,29.11
Oats,Dinner,Veg,334,34.05,12.86,3.53
Chicken Breast,Snack,Non-Veg,189,5.42,37.13,29.37
Tofu,Lunch,Veg,533,14.34,48.1,5.05
Sweet Potato,Snack,Veg,451,23.24,32.08,17.88
Avocado,Snack,Veg,276,29.24,59.0,19.3
Paneer,Dinner,Veg,93,17.31,5.29,20.72
Paneer,Dinner,Veg,295,38.74,56.76,19.26
Quinoa,Dinner,Veg,122,7.83,62.37,16.15
Chicken Breast,Breakfast,Non-Veg,176,28.57,67.77,1.57
Eggs,Dinner,Non-Veg,538,5.03,21.46,4.62
Chickpeas,Lunch,Veg,92,36.55,38.3,4.77
Paneer,Breakfast,Veg,254,25.39,47.49,29.84
Banana,Lunch,Veg,522,30.21,5.52,10.57
Brown Rice,Breakfast,Veg,71,30.45,10.15,21.74
Brown Rice,Breakfast,Veg,570,15.92,24.93,12.84
Chicken Breast,Breakfast,Non-Veg,263,5.59,19.27,15.27
Oats,Breakfast,Veg,496,12.66,25.34,9.62
Chicken Breast,Lunch,Non-Veg,434,6.32,34.17,28.53
Salmon,Breakfast,Non-Veg,230,2.7,74.96,17.45
Eggs,Lunch,Non-Veg,398,28.49,74.89,19.05
Broccoli,Breakfast,Veg,353,16.36,67.92,27.54
Chickpeas,Snack,Veg,575,6.23,60.27,16.1
Lentils,Breakfast,Veg,486,33.34,20.27,23.08
Oats,Lunch,Veg,480,5.33,64.79,16.41
Salmon,Dinner,Non-Veg,363,11.56,28.23,7.47
Salmon,Snack,Non-Veg,479,8.21,47.09,8.33
Quinoa,Lunch,Veg,525,2.63,45.43,12.45
Sweet Potato,Lunch,Veg,597,22.25,61.64,15.65
Oats,Lunch,Veg,533,36.96,29.3,15.75
Lentils,Dinner,Veg,481,26.1,40.27,4.03
Peanuts,Breakfast,Veg,471,38.1,34.49,12.06
Avocado,Snack,Veg,66,7.48,55.65,15.75
Banana,Dinner,Veg,365,10.56,18.16,14.47
Chickpeas,Snack,Veg,301,1.17,30.23,7.15
Paneer,Lunch,Veg,110,34.55,20.23,15.86
Quinoa,Dinner,Veg,138,20.12,38.38,21.66
Carrot,Lunch,Veg,76,28.75,26.09,26.54
Apple,Dinner,Veg,219,11.54,49.86,26.07
Orange,Dinner,Veg,231,13.94,69.8,22.63
Milk,Dinner,Veg,150,6.81,7.04,14.33
Oats,Lunch,Veg,519,20.85,66.78,6.16
Paneer,Snack,Veg,270,8.71,76.43,26.38
Paneer,Snack,Veg,511,27.63,25.83,16.99
Avocado,Snack,Veg,458,30.85,46.08,12.67
Yogurt,Dinner,Veg,453,14.83,14.66,20.21
Orange,Lunch,Veg,86,19.41,17.08,19.87
Spinach,Dinner,Veg,144,26.44,40.45,6.43
Carrot,Lunch,Veg,445,12.82,44.94,21.22
Chicken Breast,Breakfast,Non-Veg,98,20.2,77.15,7.21
Yogurt,Dinner,Veg,58,4.73,23.48,20.39
Eggs,Snack,Non-Veg,599,27.01,55.1,11.52
Brown Rice,Snack,Veg,79,17.95,72.03,19.0
Sweet Potato,Dinner,Veg,302,16.46,8.3,6.66
Apple,Dinner,Veg,315,22.3,41.86,7.69
Brown Rice,Dinner,Veg,120,15.89,51.61,27.84
Avocado,Snack,Veg,255,20.34,32.26,8.8
Banana,Lunch,Veg,566,12.3,52.41,4.25
Apple,Breakfast,Veg,183,30.27,43.36,28.19
Quinoa,Breakfast,Veg,388,25.59,8.98,25.68
Salmon,Dinner,Non-Veg,227,29.55,35.55,6.16
Apple,Lunch,Veg,95,37.47,68.64,26.44
Chickpeas,Lunch,Veg,486,12.09,44.03,2.73
Carrot,Lunch,Veg,592,15.14,68.68,7.82
Chicken Breast,Snack,Non-Veg,153,12.94,66.01,22.44
Carrot,Breakfast,Veg,177,27.75,44.38,27.71
Eggs,Breakfast,Non-Veg,432,26.97,36.83,16.71
Yogurt,Dinner,Veg,131,15.52,62.31,13.44
Eggs,Snack,Non-Veg,583,20.77,33.51,23.19
Broccoli,Dinner,Veg,394,19.59,19.25,20.38
Tofu,Breakfast,Veg,556,11.43,44.83,12.1
Avocado,Dinner,Veg,182,21.76,18.15,24.64
Chickpeas,Dinner,Veg,465,30.21,20.8,23.06
Orange,Dinner,Veg,443,36.32,67.39,16.59
Almonds,Snack,Veg,331,19.7,55.6,24.0
Oats,Snack,Veg,229,11.24,23.0,23.25
Chicken Breast,Snack,Non-Veg,444,12.1,43.33,19.19
Paneer,Dinner,Veg,398,36.53,8.64,23.07
Avocado,Dinner,Veg,168,30.9,60.89,8.25
Oats,Breakfast,Veg,215,31.71,23.96,29.46
Broccoli,Lunch,Veg,511,21.84,36.16,9.95
Oats,Lunch,Veg,462,6.83,72.88,3.63
Chicken Breast,Breakfast,Non-Veg,190,39.63,24.9,27.23
Avocado,Dinner,Veg,94,2.9,43.25,19.69
Banana,Breakfast,Veg,559,1.74,66.23,5.82
Yogurt,Lunch,Veg,581,4.19,20.99,14.21
Oats,Dinner,Veg,598,19.56,75.5,8.21
Chicken Breast,Breakfast,Non-Veg,64,1.1,48.6,12.0
Eggs,Lunch,Non-Veg,380,15.67,56.67,1.92
Apple,Dinner,Veg,348,29.13,40.03,22.36
Avocado,Snack,Veg,74,33.23,78.39,13.71
Salmon,Lunch,Non-Veg,423,32.31,45.09,9.09
Chickpeas,Dinner,Veg,352,28.54,64.6,14.27
Peanuts,Lunch,Veg,495,2.03,39.93,28.52
Quinoa,Dinner,Veg,158,2.28,18.52,7.91
Salmon,Snack,Non-Veg,327,29.57,55.76,15.89
Banana,Lunch,Veg,555,33.83,22.49,2.77
Yogurt,Breakfast,Veg,79,39.32,71.6,5.62
Yogurt,Lunch,Veg,58,9.15,67.81,7.14
Spinach,Dinner,Veg,533,14.97,5.1,10.59
Orange,Dinner,Veg,492,22.19,54.74,5.24
Peanuts,Lunch,Veg,243,27.8,34.07,29.3
Chickpeas,Snack,Veg,465,18.44,20.54,3.2
Oats,Dinner,Veg,161,13.51,29.71,6.74
Paneer,Breakfast,Veg,261,6.06,37.49,15.4
Quinoa,Dinner,Veg,91,14.9,32.72,25.38
Chickpeas,Dinner,Veg,178,31.47,79.77,28.61
Paneer,Lunch,Veg,401,18.04,45.38,20.49
Almonds,Breakfast,Veg,249,11.73,36.18,3.98
Spinach,Breakfast,Veg,349,10.73,71.24,27.89
Chicken Breast,Lunch,Non-Veg,477,35.35,25.49,7.72
Orange,Snack,Veg,60,22.82,26.71,15.74
Spinach,Snack,Veg,506,22.06,33.22,22.31
Eggs,Lunch,Non-Veg,317,20.9,11.72,1.31
Banana,Snack,Veg,170,26.98,35.46,20.69
Carrot,Snack,Veg,538,24.21,18.65,8.76
Banana,Dinner,Veg,111,39.61,66.99,17.95
Apple,Snack,Veg,467,31.52,6.73,27.39
Orange,Dinner,Veg,232,29.04,35.51,17.88
Avocado,Snack,Veg,336,15.75,39.77,11.81
Paneer,Dinner,Veg,579,16.38,14.45,16.97
Almonds,Dinner,Veg,74,11.07,35.34,19.72
Tofu,Dinner,Veg,159,18.86,47.72,20.61
Orange,Lunch,Veg,353,8.84,58.39,27.81
Spinach,Snack,Veg,248,10.84,75.21,1.92
Apple,Dinner,Veg,462,15.79,75.56,13.41
Carrot,Snack,Veg,251,24.69,53.42,23.8
Eggs,Dinner,Non-Veg,479,36.77,71.33,5.74
Paneer,Snack,Veg,463,17.3,6.67,1.97
Avocado,Lunch,Veg,598,21.78,45.06,13.83
Spinach,Breakfast,Veg,503,4.87,24.43,16.78
Avocado,Breakfast,Veg,283,36.7,37.46,7.49
Broccoli,Breakfast,Veg,295,18.55,13.72,12.79
Salmon,Dinner,Non-Veg,164,31.42,47.98,12.42
Tofu,Dinner,Veg,54,25.28,5.65,8.95
Sweet Potato,Lunch,Veg,429,8.28,20.56,16.47
Tofu,Lunch,Veg,177,36.67,5.23,27.36
Milk,Breakfast,Veg,466,23.62,30.22,4.41
Eggs,Snack,Non-Veg,343,11.6,76.96,17.42
Lentils,Dinner,Veg,229,15.71,34.35,27.94
Milk,Dinner,Veg,314,22.15,22.49,22.51
Quinoa,Dinner,Veg,486,29.21,72.03,17.75
Broccoli,Lunch,Veg,365,1.5,27.88,4.08
Chickpeas,Lunch,Veg,541,37.93,30.73,24.84
Orange,Lunch,Veg,57,20.05,51.06,1.44
Almonds,Breakfast,Veg,547,29.05,19.47,17.28
Milk,Lunch,Veg,76,4.97,18.9,23.14
Quinoa,Breakfast,Veg,487,29.02,9.14,20.09
Oats,Dinner,Veg,134,7.57,60.21,13.03
Brown Rice,Lunch,Veg,427,21.96,44.62,15.77
Orange,Breakfast,Veg,61,3.48,17.21,25.42
Milk,Lunch,Veg,335,36.6,23.41,15.53
Banana,Lunch,Veg,521,38.8,50.15,15.76
Paneer,Dinner,Veg,442,12.34,52.99,10.81
Salmon,Breakfast,Non-Veg,220,17.97,38.21,6.76
Salmon,Dinner,Non-Veg,334,38.89,22.16,21.52
Orange,Snack,Veg,112,10.06,74.93,17.34
Eggs,Dinner,Non-Veg,53,27.48,32.21,3.3
Yogurt,Snack,Veg,307,19.67,30.25,21.03
Sweet Potato,Lunch,Veg,449,18.6,66.79,17.03
Oats,Lunch,Veg,167,18.57,27.72,2.48
Chicken Breast,Dinner,Non-Veg,537,8.67,34.51,26.26
Milk,Breakfast,Veg,539,13.06,72.15,27.86
Oats,Lunch,Veg,278,39.22,19.79,25.85
Yogurt,Lunch,Veg,225,8.04,56.95,6.23
Orange,Snack,Veg,62,24.24,62.16,23.01
Eggs,Snack,Non-Veg,176,30.94,61.01,4.18
Milk,Lunch,Veg,183,4.95,57.48,15.02
Sweet Potato,Snack,Veg,180,14.74,12.88,8.68
Brown Rice,Snack,Veg,560,19.25,49.97,2.4
Orange,Dinner,Veg,295,2.96,25.44,5.27
Yogurt,Snack,Veg,396,31.55,17.74,8.58
Milk,Lunch,Veg,282,38.72,65.42,17.96
Spinach,Breakfast,Veg,423,21.05,59.6,19.2
Spinach,Lunch,Veg,297,32.75,79.26,10.24
Carrot,Lunch,Veg,570,33.55,36.46,25.82
Broccoli,Lunch,Veg,348,22.98,50.77,16.69
Chicken Breast,Dinner,Non-Veg,84,4.22,19.89,9.72
Lentils,Dinner,Veg,407,24.18,34.34,2.09
Apple,Lunch,Veg,584,19.81,79.33,15.91
Quinoa,Dinner,Veg,273,28.98,23.34,20.32
Brown Rice,Snack,Veg,128,28.75,13.19,22.46
Eggs,Dinner,Non-Veg,155,9.55,63.43,17.41
Carrot,Snack,Veg,393,19.41,50.02,15.11
Chickpeas,Breakfast,Veg,347,13.21,13.57,11.58
Quinoa,Breakfast,Veg,183,11.51,25.21,25.35
Almonds,Dinner,Veg,274,35.15,29.91,7.79
Chicken Breast,Lunch,Non-Veg,505,36.28,8.8,24.75
Chicken Breast,Breakfast,Non-Veg,192,26.39,18.41,9.06
Broccoli,Dinner,Veg,469,31.5,44.74,6.26
Almonds,Breakfast,Veg,594,31.13,45.75,11.16
Oats,Snack,Veg,173,30.64,11.66,14.8
Banana,Lunch,Veg,372,35.67,20.8,19.89
Broccoli,Snack,Veg,199,19.1,6.09,22.81
Carrot,Lunch,Veg,449,13.93,10.61,15.77
Yogurt,Dinner,Veg,448,13.92,45.27,25.77
Oats,Dinner,Veg,564,19.8,60.4,27.75
Almonds,Breakfast,Veg,142,38.44,77.54,1.88
Salmon,Breakfast,Non-Veg,472,14.27,53.31,21.05
Sweet Potato,Lunch,Veg,494,10.92,9.16,18.0
Chickpeas,Snack,Veg,60,3.94,45.63,20.03
Spinach,Dinner,Veg,522,35.3,33.42,28.62
Banana,Snack,Veg,293,3.0,48.17,13.81
Peanuts,Breakfast,Veg,316,5.14,36.07,22.23
Brown Rice,Breakfast,Veg,242,17.24,72.79,8.81
Chicken Breast,Snack,Non-Veg,439,33.66,15.03,11.33
Tofu,Dinner,Veg,349,32.41,46.9,2.08
Almonds,Snack,Veg,255,17.51,16.23,2.04
Chicken Breast,Dinner,Non-Veg,425,3.89,29.66,4.99
Paneer,Lunch,Veg,80,25.99,79.98,20.27
Chickpeas,Snack,Veg,408,6.95,41.24,15.65
Avocado,Snack,Veg,418,39.74,37.38,23.87
Spinach,Dinner,Veg,257,26.25,48.17,14.43
Eggs,Dinner,Non-Veg,476,28.68,57.86,6.65
Peanuts,Breakfast,Veg,572,10.13,34.35,9.96
Peanuts,Breakfast,Veg,342,14.96,66.4,12.88
Brown Rice,Dinner,Veg,289,39.64,57.25,7.95
Paneer,Lunch,Veg,373,24.39,48.97,26.71
Carrot,Snack,Veg,215,26.41,26.76,17.39
Carrot,Breakfast,Veg,252,3.73,71.17,29.01
Milk,Breakfast,Veg,134,8.93,65.54,2.76
Spinach,Snack,Veg,501,3.22,57.15,7.13
Quinoa,Snack,Veg,158,1.73,16.57,22.91
Sweet Potato,Breakfast,Veg,311,29.51,37.22,9.88
Oats,Snack,Veg,380,27.13,76.15,21.95
Chickpeas,Snack,Veg,472,6.39,33.87,16.15
Carrot,Dinner,Veg,343,33.05,19.8,10.76
Apple,Breakfast,Veg,542,23.44,53.85,26.77
Yogurt,Lunch,Veg,489,11.0,70.05,3.17
Spinach,Breakfast,Veg,174,24.33,51.43,27.61
Sweet Potato,Lunch,Veg,396,8.85,74.84,2.81
Milk,Snack,Veg,110,5.56,76.86,20.96
Eggs,Dinner,Non-Veg,252,31.01,25.65,18.33
Banana,Dinner,Veg,539,6.75,64.55,3.19
Chickpeas,Breakfast,Veg,494,6.27,57.9,11.24
Oats,Snack,Veg,224,34.17,48.27,1.28
Carrot,Breakfast,Veg,396,11.58,62.63,3.36
Peanuts,Snack,Veg,268,8.74,75.34,28.4
Avocado,Snack,Veg,406,5.03,34.21,26.63
Peanuts,Dinner,Veg,493,31.8,76.32,26.6
Carrot,Snack,Veg,258,5.44,18.28,5.89
Chicken Breast,Dinner,Non-Veg,379,24.16,77.52,16.68
Brown Rice,Dinner,Veg,416,27.19,40.26,22.85
Peanuts,Dinner,Veg,176,3.12,45.76,16.41
Lentils,Dinner,Veg,255,23.66,60.11,7.63
Eggs,Breakfast,Non-Veg,180,15.73,46.15,19.06
Banana,Lunch,Veg,110,15.69,45.09,5.81
Carrot,Breakfast,Veg,158,28.2,61.02,17.21
Avocado,Snack,Veg,181,39.27,75.24,28.2
Quinoa,Lunch,Veg,335,4.48,17.41,3.59
Spinach,Snack,Veg,301,30.87,77.18,9.16
Almonds,Breakfast,Veg,115,11.85,73.44,16.54
Quinoa,Lunch,Veg,509,33.53,6.72,6.84
Chickpeas,Dinner,Veg,499,27.32,36.12,19.57
Yogurt,Lunch,Veg,537,5.69,33.17,9.85
Tofu,Lunch,Veg,80,14.22,30.83,12.03
Banana,Breakfast,Veg,574,19.14,45.92,14.21
Tofu,Snack,Veg,216,10.07,73.18,19.97
Spinach,Breakfast,Veg,453,8.65,17.12,13.81
Broccoli,Snack,Veg,316,27.18,11.42,23.93
Oats,Lunch,Veg,180,7.26,14.25,26.95
Avocado,Dinner,Veg,309,30.28,72.49,17.01
Peanuts,Lunch,Veg,51,8.11,24.2,5.21
Oats,Dinner,Veg,482,19.54,25.87,18.29
Tofu,Snack,Veg,327,16.35,48.13,27.91
Brown Rice,Lunch,Veg,525,9.78,51.95,11.02
Chickpeas,Snack,Veg,146,8.06,21.44,6.35
Peanuts,Dinner,Veg,595,1.33,29.57,24.97
Lentils,Breakfast,Veg,52,25.38,38.98,1.26
Milk,Dinner,Veg,399,2.78,25.09,11.53
Chicken Breast,Dinner,Non-Veg,349,5.7,66.09,12.27
Milk,Breakfast,Veg,89,4.42,8.71,26.6
Chicken Breast,Lunch,Non-Veg,414,2.97,41.83,3.82
Lentils,Breakfast,Veg,57,39.31,58.98,8.44
Carrot,Snack,Veg,536,12.11,24.17,15.86
Almonds,Breakfast,Veg,387,37.46,37.0,20.48
Spinach,Lunch,Veg,452,28.5,12.81,23.67
Peanuts,Lunch,Veg,123,3.61,28.9,3.41
Salmon,Snack,Non-Veg,518,30.43,21.17,14.5
Orange,Breakfast,Veg,120,2.99,27.3,5.25
Carrot,Dinner,Veg,234,28.6,61.41,1.93
Milk,Dinner,Veg,371,14.78,47.57,3.77
Brown Rice,Dinner,Veg,420,6.09,69.61,5.51
Almonds,Breakfast,Veg,197,6.63,13.31,3.92
Yogurt,Lunch,Veg,296,5.59,71.75,23.31
Oats,Snack,Veg,134,37.28,24.44,7.23
Yogurt,Snack,Veg,351,17.86,41.46,18.48
Broccoli,Breakfast,Veg,595,16.2,38.31,17.07
Milk,Lunch,Veg,534,39.56,6.21,23.66
Spinach,Breakfast,Veg,306,23.11,32.69,4.37
Milk,Snack,Veg,324,16.83,30.39,12.06
Salmon,Snack,Non-Veg,534,4.08,75.27,5.04
Spinach,Lunch,Veg,173,4.78,7.91,4.35
Sweet Potato,Snack,Veg,251,3.23,57.42,21.09
Oats,Dinner,Veg,349,21.8,12.01,3.75
Lentils,Lunch,Veg,516,38.36,75.23,18.42
Quinoa,Breakfast,Veg,386,8.93,30.02,23.57
Tofu,Breakfast,Veg,325,26.14,35.22,15.41
Peanuts,Snack,Veg,516,34.5,71.66,17.47
Broccoli,Snack,Veg,273,36.05,19.94,11.45
Almonds,Lunch,Veg,547,18.98,54.02,26.16
Spinach,Dinner,Veg,96,17.82,63.18,3.19
Chicken Breast,Snack,Non-Veg,205,38.6,36.87,14.65
Broccoli,Snack,Veg,280,9.03,32.15,20.69
Salmon,Lunch,Non-Veg,576,29.47,36.83,14.59
Banana,Snack,Veg,157,18.41,64.54,17.45
Salmon,Dinner,Non-Veg,418,27.81,14.14,5.91
Avocado,Lunch,Veg,122,13.07,12.89,17.18
Peanuts,Snack,Veg,105,7.3,6.83,27.62
Avocado,Snack,Veg,587,39.54,40.47,18.26
Oats,Breakfast,Veg,473,16.02,49.61,7.58
Carrot,Dinner,Veg,364,27.52,65.33,22.43
Salmon,Lunch,Non-Veg,421,12.3,59.94,18.15
Banana,Breakfast,Veg,539,10.43,49.88,17.46
Chicken Breast,Lunch,Non-Veg,459,33.13,33.9,9.4
Carrot,Dinner,Veg,90,5.51,22.34,8.95
Peanuts,Breakfast,Veg,290,15.64,46.57,9.03
Tofu,Snack,Veg,109,23.41,30.31,20.46
Oats,Lunch,Veg,57,32.88,37.21,10.05
Chicken Breast,Dinner,Non-Veg,78,24.04,59.05,15.78
Sweet Potato,Lunch,Veg,249,3.28,40.49,6.98
Lentils,Breakfast,Veg,160,29.51,52.39,14.05
Carrot,Snack,Veg,480,31.52,14.36,22.48
Broccoli,Breakfast,Veg,326,16.58,15.22,1.45
Sweet Potato,Lunch,Veg,309,15.36,39.81,2.91
Almonds,Dinner,Veg,328,2.33,71.94,1.57
Broccoli,Lunch,Veg,360,11.14,10.85,6.67
Banana,Snack,Veg,271,21.4,26.41,13.75
Carrot,Snack,Veg,436,15.29,13.51,24.58
Carrot,Dinner,Veg,459,18.14,47.12,2.45
Lentils,Breakfast,Veg,488,9.08,67.22,4.65
Spinach,Snack,Veg,131,29.96,55.77,22.43
Peanuts,Snack,Veg,292,14.09,43.07,5.0
Banana,Snack,Veg,576,3.22,31.97,8.85
Lentils,Dinner,Veg,198,13.22,59.13,25.6
Orange,Breakfast,Veg,547,29.03,11.75,5.56
Almonds,Snack,Veg,314,1.56,5.84,22.33
Brown Rice,Snack,Veg,429,35.52,5.68,14.78
Broccoli,Dinner,Veg,518,34.71,29.03,8.65
Sweet Potato,Snack,Veg,377,7.86,79.26,9.73
Broccoli,Snack,Veg,323,22.86,75.16,1.79
Broccoli,Dinner,Veg,443,19.39,58.26,26.03
Tofu,Dinner,Veg,385,22.19,6.42,25.74
Brown Rice,Lunch,Veg,499,10.21,18.93,17.69
Chicken Breast,Snack,Non-Veg,550,32.59,53.2,18.59
Almonds,Lunch,Veg,390,1.05,27.31,9.77
Tofu,Snack,Veg,481,12.74,55.03,2.61
Spinach,Snack,Veg,136,31.57,12.19,27.84
Carrot,Snack,Veg,59,12.06,35.11,20.57
Broccoli,Lunch,Veg,50,8.17,53.75,21.22
Orange,Breakfast,Veg,410,28.71,70.07,22.33
Milk,Dinner,Veg,304,1.08,64.51,29.8
Banana,Snack,Veg,575,21.59,75.97,29.67
Paneer,Lunch,Veg,339,36.22,56.77,9.18
Tofu,Snack,Veg,56,21.08,36.0,1.96
Quinoa,Lunch,Veg,467,29.0,44.98,10.7
Oats,Breakfast,Veg,353,18.73,5.22,9.32
Paneer,Breakfast,Veg,223,35.5,43.12,24.6
Apple,Dinner,Veg,159,3.87,44.38,1.57
Almonds,Snack,Veg,364,32.39,71.45,21.99
Peanuts,Lunch,Veg,213,31.48,7.5,15.3
Quinoa,Breakfast,Veg,198,37.89,32.3,18.31
Eggs,Breakfast,Non-Veg,108,29.3,56.01,8.03
Broccoli,Dinner,Veg,486,31.26,68.23,8.7
Chickpeas,Snack,Veg,227,34.45,25.33,25.2
Quinoa,Lunch,Veg,53,10.95,68.88,7.91
Apple,Dinner,Veg,55,35.52,35.99,11.97
Eggs,Breakfast,Non-Veg,114,13.08,32.81,7.79
Salmon,Breakfast,Non-Veg,133,31.68,19.62,3.86
Almonds,Breakfast,Veg,544,21.91,51.86,12.21
Salmon,Breakfast,Non-Veg,162,29.06,21.5,29.35
Chickpeas,Lunch,Veg,196,25.58,31.66,4.06
Quinoa,Dinner,Veg,343,35.63,30.95,8.33
Quinoa,Breakfast,Veg,342,12.33,36.03,16.82
Milk,Breakfast,Veg,250,20.5,64.19,24.36
Chickpeas,Dinner,Veg,306,29.5,40.81,24.0
Sweet Potato,Dinner,Veg,500,19.56,31.55,29.62
Quinoa,Breakfast,Veg,507,9.63,33.19,27.97
Oats,Dinner,Veg,588,34.65,33.15,15.96
Carrot,Snack,Veg,292,20.48,29.55,18.57
Chickpeas,Snack,Veg,315,5.54,58.83,9.33
Tofu,Snack,Veg,591,14.56,65.23,18.17
Chicken Breast,Snack,Non-Veg,437,3.47,24.62,2.5
Broccoli,Breakfast,Veg,281,19.12,65.83,8.58
Chicken Breast,Snack,Non-Veg,180,6.65,50.65,3.63
Quinoa,Dinner,Veg,535,20.13,40.02,19.59
Chickpeas,Lunch,Veg,91,3.86,30.91,17.14
Brown Rice,Lunch,Veg,301,1.12,39.09,27.6
Apple,Lunch,Veg,82,39.72,19.54,13.2
Paneer,Snack,Veg,145,35.13,77.87,3.6
Peanuts,Breakfast,Veg,197,11.88,73.76,18.61
Yogurt,Lunch,Veg,401,39.76,75.66,27.94
Brown Rice,Lunch,Veg,231,14.1,78.24,26.81
Oats,Lunch,Veg,244,21.94,46.87,29.44
Tofu,Lunch,Veg,80,10.47,15.68,27.24
Brown Rice,Snack,Veg,419,32.26,47.76,3.48
Orange,Lunch,Veg,174,16.3,44.94,22.47
Quinoa,Snack,Veg,567,11.23,71.51,22.96
Sweet Potato,Snack,Veg,543,30.09,56.54,12.57
Paneer,Dinner,Veg,335,16.06,36.68,1.54
Avocado,Lunch,Veg,502,5.43,12.93,22.69
Oats,Lunch,Veg,501,36.39,18.94,17.32
Chickpeas,Snack,Veg,266,36.42,7.26,19.43
Broccoli,Breakfast,Veg,556,34.51,61.15,13.35
Oats,Dinner,Veg,189,22.35,56.05,21.35
Paneer,Snack,Veg,478,31.68,17.65,28.6
Oats,Dinner,Veg,78,36.99,45.09,14.19
Lentils,Breakfast,Veg,293,16.21,20.62,24.95
Orange,Lunch,Veg,346,30.04,59.82,16.93
Quinoa,Lunch,Veg,281,10.63,57.01,23.79
Orange,Breakfast,Veg,295,28.37,31.8,6.45
Paneer,Breakfast,Veg,350,12.6,62.3,13.5
Lentils,Dinner,Veg,477,24.9,58.55,7.25
Yogurt,Dinner,Veg,240,1.22,27.87,27.76
Peanuts,Lunch,Veg,94,28.41,9.22,19.02
Quinoa,Lunch,Veg,95,12.43,56.46,21.2
Quinoa,Dinner,Veg,242,38.03,5.88,1.14
Apple,Lunch,Veg,411,15.31,60.01,2.42
Milk,Snack,Veg,476,11.49,64.34,5.51
Avocado,Dinner,Veg,556,27.28,24.4,29.29
